iter	Passed	Remaining
905	10165	1054
906	10176	1043
907	10187	1032
908	10198	1020
909	10209	1009
910	10222	998
911	10232	987
912	10242	976
913	10254	964
914	10264	953
915	10275	942
916	10287	931
917	10299	919
918	10309	908
919	10321	897
920	10333	886
921	10344	875
922	10357	864
923	10367	852
924	10377	841
925	10387	830
926	10396	818
927	10406	807
928	10417	796
929	10429	784
930	10442	773
931	10453	762
932	10465	751
933	10476	740
934	10488	729
935	10500	717
936	10512	706
937	10522	695
938	10531	684
939	10542	672
940	10554	661
941	10564	650
942	10577	639
943	10588	628
944	10604	617
945	10617	606
946	10629	594
947	10642	583
948	10653	572
949	10662	561
950	10676	550
951	10687	538
952	10697	527
953	10708	516
954	10720	505
955	10731	493
956	10741	482
957	10751	471
958	10763	460
959	10774	448
960	10786	437
961	10798	426
962	10811	415
963	10820	404
964	10832	392
965	10843	381
966	10855	370
967	10868	359
968	10878	348
969	10888	336
970	10902	325
971	10912	314
972	10926	303
973	10937	291
974	10947	280
975	10957	269
976	10968	258
977	10978	246
978	10991	235
979	11003	224
980	11018	213
981	11031	202
982	11042	190
983	11054	179
984	11068	168
985	11081	157
986	11094	146
987	11104	134
988	11116	123
989	11128	112
990	11140	101
991	11152	89
992	11165	78
993	11176	67
994	11187	56
995	11200	44
996	11212	33
997	11222	22
998	11232	11
999	11243	0
